city,crit_read_mean,writing_mean,math_mean
"hollidaysburg, pennsylvania",528,510,535
"homer city, pennsylvania",468,446,485
"aliquippa, pennsylvania",487,462,516
"huntingdon, pennsylvania",517,468,523
"philadelphia, pennsylvania",353,334,345
"indiana, pennsylvania",516,488,520
"prospect park, pennsylvania",473,450,469
"erie, pennsylvania",471,448,487
"jamestown, pennsylvania",515,471,536
"jeannette, pennsylvania",451,420,458
"jefferson, pennsylvania",472,446,470
"jenkintown, pennsylvania",559,565,563
"jersey shore, pennsylvania",494,468,492
"jim thorpe, pennsylvania",486,459,489
"johnsonburg, pennsylvania",489,453,499
"mifflintown, pennsylvania",493,470,496
"mifflintown, pennsylvania",498,476,498
"alexandria, pennsylvania",493,478,486
"kane, pennsylvania",470,457,483
"karns city, pennsylvania",513,479,535
"kennett square, pennsylvania",536,518,541
"mill hall, pennsylvania",440,403,436
"mill hall, pennsylvania",469,442,474
"pittsburgh, pennsylvania",523,510,535
"knox, pennsylvania",514,486,504
"philadelphia, pennsylvania",396,398,425
"vandergrift, pennsylvania",500,479,501
"kutztown, pennsylvania",525,502,537
"lancaster, pennsylvania",342,325,378
"factoryville, pennsylvania",502,481,507
"scott township, pennsylvania",491,471,499
"dallas, pennsylvania",508,490,514
"stoneboro, pennsylvania",477,447,477
"lancaster, pennsylvania",524,511,533
"lancaster, pennsylvania",425,407,436
"uniontown, pennsylvania",477,462,474
"new castle, pennsylvania",479,466,477
"new castle, pennsylvania",446,413,426
"lebanon, pennsylvania",438,423,440
"leechburg, pennsylvania",476,463,481
"bethlehem, pennsylvania",502,489,475
"bethlehem, pennsylvania",538,515,482
"lehighton, pennsylvania",494,477,501
"ford city, pennsylvania",451,402,448
"lewisburg, pennsylvania",557,523,563
"ligonier, pennsylvania",514,490,527
"allentown, pennsylvania",373,362,388
"midland, pennsylvania",520,489,498
"herndon, pennsylvania",491,459,493
"littlestown, pennsylvania",522,484,524
"hummelstown, pennsylvania",527,506,545
"ardmore, pennsylvania",582,590,582
"ardmore, pennsylvania",584,580,602
"huntingdon valley, pennsylvania",564,580,579
"williamsport, pennsylvania",498,477,508
"mahanoy city, pennsylvania",430,412,441
"manheim, pennsylvania",507,483,510
"lancaster, pennsylvania",539,515,553
"philadelphia, pennsylvania",373,357,396
"marion center, pennsylvania",474,457,473
"philadelphia, pennsylvania",428,413,450
"newtown square, pennsylvania",513,509,531
"mars, pennsylvania",536,524,551
"philadelphia, pennsylvania",357,363,323
"philadelphia, pennsylvania",411,414,401
"philadelphia, pennsylvania",443,433,439
"philadelphia, pennsylvania",384,374,358
"philadelphia, pennsylvania",501,488,511
"claysville, pennsylvania",505,467,509
"mckeesport, pennsylvania",436,414,428
"mechanicsburg, pennsylvania",523,507,539
"mercer, pennsylvania",514,479,520
"eagleville, pennsylvania",555,547,583
"meyersdale, pennsylvania",515,473,504
"throop, pennsylvania",478,442,469
"middletown, pennsylvania",504,487,500
"middleburg, pennsylvania",482,451,497
"lewistown, pennsylvania",493,457,507
"mifflinburg, pennsylvania",507,471,521
"erie, pennsylvania",507,484,512
"millersburg, pennsylvania",487,430,485
"millville, pennsylvania",510,487,476
"milton, pennsylvania",495,458,502
"minersville, pennsylvania",462,436,455
"new castle, pennsylvania",464,440,487
"monessen, pennsylvania",441,395,451
"west sunbury, pennsylvania",487,435,507
"montgomery, pennsylvania",502,454,494
"mc kees rocks, pennsylvania",508,507,514
"montoursville, pennsylvania",517,467,529
"montrose, pennsylvania",500,477,494
"moon township, pennsylvania",524,502,537
"morrisville, pennsylvania",494,438,458
"houtzdale, pennsylvania",465,430,466
"mount carmel, pennsylvania",463,453,481
"mount pleasant, pennsylvania",484,470,493
"mount union, pennsylvania",477,447,487
"kingsley, pennsylvania",521,492,499
"pittsburgh, pennsylvania",573,577,578
"reading, pennsylvania",466,427,468
"philadelphia, pennsylvania",410,407,405
"muncy, pennsylvania",482,468,482
"nazareth, pennsylvania",525,507,519
"langhorne, pennsylvania",508,490,528
"new castle, pennsylvania",534,508,533
"new brighton, pennsylvania",488,455,492
"new castle, pennsylvania",443,421,439
"philadelphia, pennsylvania",458,436,446
"new hope, pennsylvania",556,567,593
"new kensington, pennsylvania",454,439,451
"newport, pennsylvania",524,493,535
"norristown, pennsylvania",440,418,449
"pittsburgh, pennsylvania",574,559,588
"tionesta, pennsylvania",522,511,546
"north east, pennsylvania",504,479,518
"pittsburgh, pennsylvania",523,511,540
"lansdale, pennsylvania",540,525,564
"moscow, pennsylvania",515,500,512
"ashland, pennsylvania",491,475,508
"boswell, pennsylvania",479,464,487
"northampton, pennsylvania",488,455,484
"rome, pennsylvania",517,474,469
"manchester, pennsylvania",502,483,504
"loysburg, pennsylvania",524,490,499
"northern cambria, pennsylvania",479,459,481
"fredericksburg, pennsylvania",500,467,485
"slatington, pennsylvania",492,465,492
"ulysses, pennsylvania",530,484,507
"elkland, pennsylvania",487,446,469
"elkland, pennsylvania",468,447,467
"dillsburg, pennsylvania",521,496,528
"pittsburgh, pennsylvania",506,469,509
"shickshinny, pennsylvania",499,489,496
"albion, pennsylvania",514,475,509
"new tripoli, pennsylvania",505,477,530
"north huntingdon, pennsylvania",523,503,536
"atglen, pennsylvania",498,481,514
"oil city, pennsylvania",490,463,505
"old forge, pennsylvania",472,465,481
"oley, pennsylvania",533,524,536
"philadelphia, pennsylvania",350,326,355
"shinglehouse, pennsylvania",467,435,456
"duke center, pennsylvania",494,465,495
"pottstown, pennsylvania",541,526,545
"oxford, pennsylvania",504,478,496
"kintnersville, pennsylvania",514,503,546
"palmerton, pennsylvania",495,476,493
"palmyra, pennsylvania",511,494,527
"lansford, pennsylvania",487,450,464
"allentown, pennsylvania",545,534,551
"pen argyl, pennsylvania",497,448,487
"cresson, pennsylvania",500,495,508
"pittsburgh, pennsylvania",462,428,445
"lancaster, pennsylvania",516,483,523
"saegertown, pennsylvania",486,450,493
"saegertown, pennsylvania",469,435,460
"saegertown, pennsylvania",499,478,487
"aston, pennsylvania",483,470,494
"perkasie, pennsylvania",513,493,527
"clymer, pennsylvania",485,448,464
"spring mills, pennsylvania",528,511,534
"fallsington, pennsylvania",539,529,542
"midland, pennsylvania",514,486,485
"west chester, pennsylvania",566,528,542
"king of prussia, pennsylvania",534,494,487
"harrison city, pennsylvania",505,489,525
"kinzers, pennsylvania",531,492,526
"collegeville, pennsylvania",538,528,556
"erie, pennsylvania",349,322,339
"mcmurray, pennsylvania",537,525,559
"philadelphia, pennsylvania",470,453,465
"philadelphia, pennsylvania",454,436,474
"philadelphia, pennsylvania",478,470,482
"philadelphia, pennsylvania",328,303,327
"philadelphia, pennsylvania",458,451,477
"philadelphia, pennsylvania",544,531,586
"philadelphia, pennsylvania",490,467,446
"philadelphia, pennsylvania",346,318,347
"philadelphia, pennsylvania",337,302,343
"philadelphia, pennsylvania",358,339,347
"philadelphia, pennsylvania",347,328,356
"philadelphia, pennsylvania",334,313,356
"philadelphia, pennsylvania",434,414,423
"philadelphia, pennsylvania",331,303,363
"philadelphia, pennsylvania",489,494,489
"philadelphia, pennsylvania",437,422,440
"philadelphia, pennsylvania",463,437,491
"philadelphia, pennsylvania",349,327,348
"philadelphia, pennsylvania",357,338,349
"philadelphia, pennsylvania",377,349,349
"philadelphia, pennsylvania",349,339,350
"philadelphia, pennsylvania",366,322,342
"philadelphia, pennsylvania",377,354,381
"philadelphia, pennsylvania",374,355,389
"philadelphia, pennsylvania",353,335,360
"philadelphia, pennsylvania",655,645,678
"philadelphia, pennsylvania",396,381,395
"philadelphia, pennsylvania",412,379,390
"philadelphia, pennsylvania",415,401,455
"philadelphia, pennsylvania",362,347,359
"philadelphia, pennsylvania",409,395,421
"philadelphia, pennsylvania",389,372,393
"philadelphia, pennsylvania",394,364,387
"philadelphia, pennsylvania",389,365,414
"philadelphia, pennsylvania",373,357,375
"philadelphia, pennsylvania",331,321,333
"philadelphia, pennsylvania",364,333,350
"philadelphia, pennsylvania",379,349,356
"philadelphia, pennsylvania",398,383,397
"philadelphia, pennsylvania",332,320,331
"philadelphia, pennsylvania",375,344,365
"philadelphia, pennsylvania",544,524,531
"philadelphia, pennsylvania",341,320,370
"philadelphia, pennsylvania",327,301,328
"philadelphia, pennsylvania",377,351,393
"philadelphia, pennsylvania",392,344,364
"philadelphia, pennsylvania",406,389,417
"philadelphia, pennsylvania",357,339,361
"philadelphia, pennsylvania",362,340,368
"philipsburg, pennsylvania",488,443,492
"phoenixville, pennsylvania",546,526,538
"pine grove, pennsylvania",488,459,455
"gibsonia, pennsylvania",550,538,572
"pittsburgh, pennsylvania",511,492,519
"pittsburgh, pennsylvania",417,394,432
"pittsburgh, pennsylvania",529,512,517
"pittsburgh, pennsylvania",428,406,448
"pittsburgh, pennsylvania",358,335,362
"pittsburgh, pennsylvania",489,479,501
"pittsburgh, pennsylvania",473,439,424
"pittsburgh, pennsylvania",395,368,402
"pittsburgh, pennsylvania",495,459,517
"pittsburgh, pennsylvania",361,338,379
"pittston, pennsylvania",469,448,472
"brodheadsville, pennsylvania",495,455,498
"plum, pennsylvania",512,488,517
"swiftwater, pennsylvania",496,465,509
"swiftwater, pennsylvania",450,425,452
"port allegany, pennsylvania",493,445,542
"portage, pennsylvania",485,470,511
"pottstown, pennsylvania",510,482,503
"pottstown, pennsylvania",465,433,447
"pottsville, pennsylvania",478,468,490
"philadelphia, pennsylvania",438,434,452
"pittsburgh, pennsylvania",404,389,406
"homestead, pennsylvania",372,357,371
"punxsutawney, pennsylvania",488,464,515
"commodore, pennsylvania",514,492,523
"leetsdale, pennsylvania",544,538,560
"quakertown, pennsylvania",523,498,526
"wayne, pennsylvania",575,574,597
"reading, pennsylvania",405,373,402
"red lion, pennsylvania",490,444,519
"new bethlehem, pennsylvania",480,461,472
"phoenixville, pennsylvania",531,500,525
"greenville, pennsylvania",479,457,470
"johnstown, pennsylvania",530,522,525
"ridgway, pennsylvania",479,449,483
"folsom, pennsylvania",478,449,491
"new eagle, pennsylvania",472,447,474
"ellwood city, pennsylvania",471,462,501
"taylor, pennsylvania",411,404,445
"oakmont, pennsylvania",521,502,509
"allentown, pennsylvania",427,394,426
"rochester, pennsylvania",479,446,498
"rockwood, pennsylvania",492,454,513
"media, pennsylvania",530,528,547
"saint marys, pennsylvania",500,466,519
"allentown, pennsylvania",513,489,520
"salisbury, pennsylvania",513,465,515
"philadelphia, pennsylvania",362,360,348
"hellertown, pennsylvania",529,512,543
"sayre, pennsylvania",492,449,483
"schuylkill haven, pennsylvania",485,453,499
"leesport, pennsylvania",517,487,506
"scranton, pennsylvania",458,443,459
"scranton, pennsylvania",448,435,452
"selinsgrove, pennsylvania",497,468,499
"harmony, pennsylvania",527,511,543
"cairnbrook, pennsylvania",485,453,491
"glenshaw, pennsylvania",515,495,509
"coal township, pennsylvania",457,423,466
"shanksville, pennsylvania",483,448,513
"sharon, pennsylvania",431,398,426
"sharpsville, pennsylvania",482,453,484
"shenandoah, pennsylvania",441,408,448
"new castle, pennsylvania",479,472,492
"sunbury, pennsylvania",458,444,472
"shippensburg, pennsylvania",499,476,508
"slippery rock, pennsylvania",538,491,535
"smethport, pennsylvania",492,463,513
"quarryville, pennsylvania",509,471,512
"somerset, pennsylvania",509,460,510
"souderton, pennsylvania",540,519,550
"mc keesport, pennsylvania",475,445,466
"saxonburg, pennsylvania",526,506,532
"fawn grove, pennsylvania",518,487,532
"mcdonald, pennsylvania",539,538,568
"boiling springs, pennsylvania",528,511,511
"south park, pennsylvania",507,472,523
"hookstown, pennsylvania",505,464,508
"hanover, pennsylvania",501,464,505
"south williamsport, pennsylvania",521,496,522
"folcroft, pennsylvania",399,376,404
"greensboro, pennsylvania",415,397,396
"catawissa, pennsylvania",496,483,511
