city,crit_read_mean,writing_mean,math_mean
"ware, massachusetts",482,448,487
"wareham, massachusetts",479,452,483
"watertown, massachusetts",503,487,534
"wayland, massachusetts",595,593,619
"webster, massachusetts",493,470,491
"wellesley, massachusetts",601,598,614
"west boylston, massachusetts",523,504,525
"west bridgewater, massachusetts",506,496,508
"west springfield, massachusetts",487,479,508
"westborough, massachusetts",583,577,608
"westfield, massachusetts",527,503,526
"westfield, massachusetts",452,399,458
"westford, massachusetts",594,580,612
"weston, massachusetts",604,603,627
"westwood, massachusetts",557,548,578
"weymouth, massachusetts",503,491,510
"whitman, massachusetts",499,499,518
"haverhill, massachusetts",468,435,468
"wilmington, massachusetts",514,508,527
"winchendon, massachusetts",471,449,463
"winchester, massachusetts",587,586,617
"winthrop, massachusetts",481,469,494
"woburn, massachusetts",495,481,516
"worcester, massachusetts",452,446,457
"worcester, massachusetts",354,360,371
"worcester, massachusetts",468,453,484
"worcester, massachusetts",400,384,409
"worcester, massachusetts",440,432,473
"worcester, massachusetts",435,428,471
"worcester, massachusetts",432,422,437
