city,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,B25077_001E,B27011_014E,B25099_001E,B06007_005E,B06007_008E,B17010B_002E,crit_read_mean,writing_mean,math_mean
"tustin, california",8483,8727,13826,13057,7279,514500.0,3294,96154.0,9311,5587,58,454,448,464
"richmond, california",16339,15334,21357,11842,6497,296600.0,5762,77492.0,18236,7087,1034,450,459,474
"richmond, california",16339,15334,21357,11842,6497,296600.0,5762,77492.0,18236,7087,1034,379,384,376
"richmond, california",16339,15334,21357,11842,6497,296600.0,5762,77492.0,18236,7087,1034,261,263,264
"richmond, california",16339,15334,21357,11842,6497,296600.0,5762,77492.0,18236,7087,1034,349,345,352
"richmond, california",16339,15334,21357,11842,6497,296600.0,5762,77492.0,18236,7087,1034,373,391,413
"richmond, california",16339,15334,21357,11842,6497,296600.0,5762,77492.0,18236,7087,1034,360,355,358
"belmont, california",952,2119,4717,5386,5629,963300.0,898,160185.0,792,1890,10,576,571,598
"newman, california",1496,2070,1964,614,88,148700.0,922,57508.0,2100,49,10,439,429,430
"porterville, california",10194,8238,8947,2335,1061,149400.0,2804,48887.0,9311,771,8,463,448,419
"porterville, california",10194,8238,8947,2335,1061,149400.0,2804,48887.0,9311,771,8,421,417,415
"porterville, california",10194,8238,8947,2335,1061,149400.0,2804,48887.0,9311,771,8,460,465,475
"porterville, california",10194,8238,8947,2335,1061,149400.0,2804,48887.0,9311,771,8,427,435,448
"galt, california",2467,4506,5214,1781,603,214100.0,1528,74506.0,2633,564,56,484,483,490
"galt, california",2467,4506,5214,1781,603,214100.0,1528,74506.0,2633,564,56,496,484,497
"san jacinto, california",7093,7987,9092,2322,973,146100.0,3129,54559.0,6153,851,108,446,429,437
"san jacinto, california",7093,7987,9092,2322,973,146100.0,3129,54559.0,6153,851,108,452,449,454
"arvin, california",6454,1649,1346,238,34,107200.0,1284,44547.0,8006,115,8,428,422,423
"buena park, california",9153,12448,16371,12534,3735,419600.0,2432,88056.0,12535,12195,173,457,454,466
"san leandro, california",10913,16142,17425,12222,5370,391200.0,3845,83460.0,8141,13967,243,461,460,455
"sanger, california",5235,2828,4483,1369,530,161800.0,1521,63395.0,5587,52,14,479,481,515
"sanger, california",5235,2828,4483,1369,530,161800.0,1521,63395.0,5587,52,14,439,434,450
"alhambra, california",11914,14040,15379,13654,6601,494500.0,2950,82418.0,5044,22558,9,477,469,527
"alhambra, california",11914,14040,15379,13654,6601,494500.0,2950,82418.0,5044,22558,9,523,523,595
