High School,ai_code,test_takers,crit_read_mean,math_mean,writing_mean
Timberline High School,480572,199,524,508,490
Todd Beamer High School,480401,400,434,438,423
Toledo High School,481420,17,498,525,478
Tonasket High School,481425,30,483,504,468
Toppenish High School,481430,71,378,405,356
Touchet High School,481435,16,438,434,398
Toutle Lake High School,481438,17,539,502,512
Trout Lake High School,481440,10,600,560,571
Tulalip Heritage School,481441,1,-,-,-
Tumwater High School,481443,155,530,525,507
Two Rivers School,480803,1,-,-,-
Union High School,480139,277,512,528,486
University High School,481297,182,515,523,483
Vancouver iTech Preparatory,481493,33,556,539,525
Vancouver School of Arts and Academics,481480,45,558,521,535
Vashon Island High School,480135,107,570,578,551
W F West High School,480175,83,523,531,493
Wahkiakum High School,480165,15,519,455,492
Wahluke High School,480783,47,383,395,377
Waitsburg High School,481485,9,521,461,471
Walla Walla High School,481503,146,523,515,492
Wapato Senior High School,481505,52,417,418,395
Warden High School,481510,22,460,477,451
Washington Academy Of Arts And Technology,481298,0,-,-,-
Washington High School,481402,100,444,437,430
Washington State School for the Blind,481482,0,-,-,-
Washington Virtual Academies High School,480311,29,575,510,542
Washougal High School,481515,73,519,500,489
Washtucna High School,481520,0,-,-,-
Waterville High School,481525,26,412,427,393
Wellpinit High School,481530,8,389,391,399
Wenatchee High School,481535,241,495,506,470
West Auburn Senior High School,480049,35,370,357,335
West Seattle High School,481165,232,471,488,463
West Valley High School,480710,108,476,488,451
West Valley High School,481625,155,527,538,499
Westside High School,481539,1,-,-,-
White Pass Jr-Sr High School,480965,14,488,516,442
White River High School,480125,127,493,468,467
White Swan High School,481550,20,419,440,402
Wilbur High School,481555,14,465,470,448
Willapa Valley High School,480695,6,448,447,437
Wilson Creek High School,481560,6,408,410,407
Windward High School,480112,10,586,530,501
Winlock High School,481575,8,530,521,519
Wishkah Valley High School,480010,2,-,-,-
Wishram High School,481590,0,-,-,-
Woodinville High School,481598,276,562,576,535
Woodland High School,481600,54,495,504,462
Woodrow Wilson High School,481403,232,454,456,433
Yakima Online,481618,12,490,457,436
Yelm High School,481630,118,493,472,457
Zillah High School,481635,4,-,-,-
