School Name,School Code,Tests Taken,Reading,Writing,Math
Lexington - Lexington High,01550505,     471,619,611,645
Lincoln-Sudbury - Lincoln-Sudbury Regional High,06950505,     336,577,572,610
Littleton - Littleton High School,01580505,      96,578,578,589
Longmeadow - Longmeadow High,01590505,     221,552,541,570
Lowell - Leblanc Therapeutic Day School,01600320,       1,,,
Lowell - Lowell High,01600505,     445,465,446,491
Lowell Middlesex Academy Charter (District) - Lowell Middlesex Academy Charter School,04580505,       1,,,
Ludlow - Ludlow Senior High,01610505,     123,499,490,505
Lunenburg - Lunenburg High,01620505,      79,533,505,525
Lynn - Classical High,01630505,     210,450,431,466
Lynn - Lynn English High,01630510,     215,449,440,455
Lynn - Lynn Vocational Technical Institute,01630605,      64,423,398,439
Lynnfield - Lynnfield High,01640505,     147,530,541,547
MATCH Charter Public School (District) - MATCH Charter Public School,04690505,      51,435,433,504
Ma Academy for Math and Science - Ma Academy for Math and Science School,04680505,      49,703,688,741
Malden - Malden High,01650505,     322,455,444,507
Manchester Essex Regional - Manchester Essex Regional High School,06980510,     104,595,582,601
Mansfield - Mansfield High,01670505,     275,541,537,566
Marblehead - Marblehead High,01680505,     231,563,565,564
Marlborough - Marlborough High,01700505,     177,498,479,523
Marshfield - Marshfield High,01710505,     265,518,512,520
Martha's Vineyard - Martha's Vineyard Regional High,07000505,     118,531,510,527
Martha's Vineyard Charter (District) - Marthas Vineyard Charter School,04660550,       7,,,
Masconomet - Masconomet Regional High School,07050505,     334,549,547,567
Mashpee - Mashpee High,01720505,      75,501,477,492
Massachusetts Virtual Academy at Greenfield Commonwealth Virtual District - Massachusetts Virtual Academy at Greenfield Commonwealth Virtual School,39010900,      13,532,505,515
Maynard - Maynard High,01740505,      68,540,524,546
Medfield - Medfield Senior High,01750505,     226,553,558,587
Medford - Curtis-Tufts,01760510,       1,,,
Medford - Medford High,01760505,     213,520,517,521
Medford - Medford Vocational Technical High,01760605,      16,398,390,420
Medway - Medway High,01770505,     186,535,526,547
Melrose - Melrose High,01780505,     207,530,527,534
Mendon-Upton - Nipmuc Regional High,07100510,     139,529,514,544
Methuen - Methuen High,01810505,     262,473,459,482
Middleborough - Middleborough High,01820505,     151,501,481,509
Milford - Milford High,01850505,     199,505,492,514
Millbury - Millbury Junior/Senior High,01860505,      69,480,459,492
Millis - Millis High School,01870505,      84,516,496,503
Milton - Milton High,01890505,     204,530,524,555
Minuteman Regional Vocational Technical - Minuteman Regional High,08300605,      80,480,448,470
Mohawk Trail - Mohawk Trail Regional High,07170505,      52,545,510,546
Monomoy Regional School District - Monomoy Regional High School,07120515,      79,546,524,532
Monson - Monson Innovation High School,01910505,      70,497,480,500
Montachusett Regional Vocational Technical - Montachusett Regional Vocational Technical,08320605,     201,473,440,470
Mount Greylock - Mt Greylock Regional High,07150505,      58,593,577,585
Mystic Valley Regional Charter (District) - Mystic Valley Regional Charter School,04700105,     101,538,525,562
Nantucket - Nantucket High,01970505,      93,524,511,490
Narragansett - Narragansett Regional High,07200505,      53,502,487,510
Nashoba - Nashoba Regional,07250505,     239,552,539,563
Nashoba Valley Regional Vocational Technical - Nashoba Valley Technical High School,08520605,      81,469,426,469
Natick - Natick High,01980505,     322,555,538,565
Nauset - Nauset Regional High,06600505,     197,526,515,530
Needham - Needham High,01990505,     361,575,571,584
New Bedford - New Bedford High,02010505,     214,449,421,449
New Liberty Charter School of Salem (District) - New Liberty Charter School of Salem,04670505,       2,,,
Newburyport - Newburyport High,02040505,     149,549,544,563
Newton - Newton North High,02070505,     409,580,572,598
Newton - Newton South High,02070510,     381,596,599,620
Norfolk County Agricultural - Norfolk County Agricultural,09150705,      98,504,485,507
North Adams - Drury High,02090505,      54,472,468,477
North Andover - North Andover High,02110505,     280,523,517,530
North Attleborough - North Attleboro High,02120505,     249,530,508,537
North Brookfield - North Brookfield High,02150505,      15,501,480,466
North Middlesex - North Middlesex Regional,07350505,     195,520,498,535
