city,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,B25077_001E,B27011_014E,B25099_001E,B06007_005E,B06007_008E,B17010B_002E
"bremerton, washington",1687,6581,11923,3657,1546,178300.0,1641,67574.0,763,784,128
"prairie ridge, washington",848,3065,3205,677,264,200400.0,456,77956.0,41,45,28
"puyallup, washington",2067,8115,9472,4521,2288,255300.0,1767,90000.0,468,913,14
"university place, washington",1015,4431,8146,4756,2546,282200.0,1667,91640.0,127,1377,72
"tumwater, washington",815,2482,5067,2442,1931,214000.0,679,72407.0,85,381,113
"five corners, washington",1236,3714,5070,1409,619,197000.0,1008,72336.0,165,1146,54
"pullman, washington",262,1107,2496,3503,4059,222900.0,1680,89301.0,155,1668,12
"burlington, washington",757,1961,2152,457,319,186900.0,354,60110.0,581,137,9
"bonney lake, washington",808,3312,4654,1715,1021,255200.0,639,89008.0,236,84,17
"lakewood, washington",4762,10829,16584,5293,2656,209100.0,3335,66459.0,2219,2915,249
"tracyton, washington",265,1045,1868,660,225,208900.0,311,75077.0,26,247,76
"brier, washington",265,827,1775,1151,524,362400.0,228,108650.0,70,172,11
"edmonds, washington",1316,5243,9748,9815,4967,393700.0,1256,91457.0,314,2099,87
"bainbridge island, washington",270,1510,3555,6320,5348,548100.0,561,119270.0,51,218,49
"naches, washington",76,217,194,50,18,146800.0,2,55833.0,6,2,7
"hazel dell, washington",1574,3444,5610,2372,695,213400.0,695,62673.0,718,483,21
"rainier, washington",162,472,540,196,76,171700.0,172,70543.0,7,5,5
"everett, washington",8422,19111,28123,10962,4404,230800.0,4922,75363.0,3919,6653,149
"north lynnwood, washington",1070,2280,4930,3051,999,250300.0,904,77966.0,603,1920,13
"birch bay, washington",469,1348,2301,1345,811,241600.0,538,63714.0,20,256,19
"redmond, washington",1918,3428,9159,14517,12023,485100.0,1628,130617.0,1890,5393,54
"pasco, washington",10513,10141,10759,4088,1978,163300.0,2201,68103.0,14246,889,38
"renton, washington",7392,15608,21719,16191,6783,291300.0,3455,83723.0,4132,10332,424
"covington, washington",930,3432,4374,2613,1005,267700.0,634,96364.0,284,761,16
"federal way, washington",6130,16515,23302,10097,4628,245800.0,3929,78340.0,4120,7305,481
"parkland, washington",3103,8061,7683,2102,812,172400.0,2111,65433.0,1376,1766,175
"toppenish, washington",2390,942,839,205,104,113400.0,319,43304.0,2342,69,25
"bellevue, washington",4452,10777,20677,35819,25856,562000.0,4402,113681.0,3451,17023,88
"meadowdale, washington",125,387,804,494,185,356900.0,110,94671.0,10,156,9
"ilwaco, washington",30,219,312,74,60,194300.0,34,39600.0,25,4,2
"martha lake, washington",815,2093,4242,2940,1164,332600.0,640,94158.0,439,1161,115
"mountlake terrace, washington",1319,3637,5674,2750,1332,261100.0,832,77616.0,540,1084,66
"bellingham, washington",3661,9312,16628,13113,7210,285900.0,4128,69645.0,1301,2600,34
"south hill, washington",1951,9916,13742,5753,2802,236700.0,2227,86155.0,959,1567,31
"seatac, washington",3285,5805,6300,2407,1124,231700.0,1325,64460.0,1637,4003,290
"lititz, pennsylvania",555,2475,1670,1363,773,186600.0,171,71506.0,119,320,12
"mount joy, pennsylvania",461,2401,1255,801,472,156500.0,263,68554.0,56,10,46
"easton, pennsylvania",3118,6011,4562,1839,1124,125800.0,1385,60000.0,1569,488,281
"prospect park, pennsylvania",364,1626,1399,908,145,177800.0,186,72314.0,51,273,12
"glassport, pennsylvania",398,1474,927,384,94,56500.0,282,42250.0,8,46,15
"verona, pennsylvania",90,648,619,287,79,77400.0,142,52868.0,20,16,33
"milton, pennsylvania",807,2257,1164,374,267,106300.0,423,55259.0,124,18,17
"boyertown, pennsylvania",416,1205,626,307,164,155400.0,262,62083.0,20,39,20
"pottstown, pennsylvania",2421,6205,3936,1698,904,129000.0,977,62735.0,475,154,238
"adamstown, pennsylvania",117,520,368,285,115,198400.0,27,73462.0,3,62,3
