city,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,B25077_001E,B27011_014E,B25099_001E,B06007_005E,B06007_008E,B17010B_002E
"porterville, california",10194,8238,8947,2335,1061,149400.0,2804,48887.0,9311,771,8
"galt, california",2467,4506,5214,1781,603,214100.0,1528,74506.0,2633,564,56
"la riviera, california",523,1320,3147,1928,786,217900.0,614,76585.0,348,413,61
"san jacinto, california",7093,7987,9092,2322,973,146100.0,3129,54559.0,6153,851,108
"arvin, california",6454,1649,1346,238,34,107200.0,1284,44547.0,8006,115,8
"armona, california",691,571,636,65,28,112800.0,354,46297.0,628,107,14
"buena park, california",9153,12448,16371,12534,3735,419600.0,2432,88056.0,12535,12195,173
"san leandro, california",10913,16142,17425,12222,5370,391200.0,3845,83460.0,8141,13967,243
"sanger, california",5235,2828,4483,1369,530,161800.0,1521,63395.0,5587,52,14
"alhambra, california",11914,14040,15379,13654,6601,494500.0,2950,82418.0,5044,22558,9
"citrus, california",1880,2327,1901,673,228,331300.0,619,61012.0,2260,399,10
"norwalk, california",17723,18138,20693,7533,2757,331400.0,4675,71036.0,22421,7124,143
"santa cruz, california",2476,4432,9810,9841,7882,659500.0,2431,100686.0,2820,1014,27
"ceres, california",8878,8252,8144,1799,591,161200.0,3429,57945.0,9012,1992,21
"hawaiian gardens, california",3564,2460,1754,703,174,254200.0,605,39298.0,4909,721,15
"la puente, california",9905,7398,5439,1768,538,320300.0,1734,65260.0,10325,2160,36
"paramount, california",13150,8081,7465,1892,678,262300.0,2642,61593.0,16521,752,317
"santa monica, california",3412,6852,14796,26802,20305,1030500.0,5081,132076.0,3429,5308,24
"south gate, california",27236,14307,11303,3396,944,312200.0,6002,65030.0,36529,332,42
"west covina, california",12185,17674,23116,14414,4693,404400.0,6539,83455.0,8769,11239,69
"garden grove, california",30264,28476,34629,16453,5280,421700.0,7733,75885.0,19694,37484,17
"linda, california",2684,2617,3887,575,213,147500.0,1097,46505.0,1768,679,47
"wheatland, california",362,667,955,199,120,171900.0,321,69653.0,145,112,21
"santa maria, california",24001,10826,15732,5258,2240,262200.0,4100,70020.0,28469,2993,28
"guadalupe, california",1707,862,1066,242,25,203100.0,275,67125.0,1844,114,12
"santa barbara, california",9783,8208,15830,16419,11339,846400.0,3004,104896.0,13179,2082,34
"california, california",1768,2630,3265,598,351,91700.0,1371,66313.0,981,126,205
"el paso de robles (paso robles), california",3338,4443,8335,3036,1411,361900.0,1200,75938.0,4260,200,53
"malden, massachusetts",6057,12870,9955,7854,6305,330100.0,3384,80815.0,1591,13403,376
"lynn, massachusetts",11773,19175,16369,7850,3529,254600.0,4246,81325.0,12689,6585,532
"leominster, massachusetts",3935,9317,7962,5232,2627,227700.0,2042,83755.0,2173,1138,21
"worcester, massachusetts",18682,34910,29205,21755,13087,205200.0,8895,74243.0,14101,16464,1037
"pittsfield, massachusetts",3303,10616,9656,4846,3366,172500.0,2464,61586.0,664,807,201
"manteca, california",7956,14807,15908,4876,1827,235800.0,4933,75427.0,5856,2373,184
"san jose, california",116024,120090,174746,158812,101583,609500.0,44449,112359.0,92657,142675,948
"san francisco, california",85571,83938,135102,215189,139972,799600.0,34388,116309.0,36752,136972,1969
"santa clara, california",6682,12156,18402,24154,20819,673600.0,4156,122150.0,4811,14913,113
"santee, california",2698,9544,15493,6804,3245,348100.0,2499,88425.0,1023,1211,25
"vista, california",14589,15608,20855,8465,3699,360700.0,2883,69482.0,20920,2237,33
"san rafael, california",6003,6183,10445,11302,8486,714900.0,1773,118705.0,8254,2240,121
"beaumont, california",3371,5940,9964,3542,2714,227200.0,1496,76719.0,2326,1684,69
"bermuda dunes, california",549,1712,1320,1038,536,309500.0,440,85221.0,407,34,16
"rocklin, california",1621,6526,15204,10796,4606,352300.0,2543,99326.0,639,1724,25
"corcoran, california",7173,4325,4814,307,153,107000.0,735,40357.0,4268,117,64
"farmersville, california",2580,1584,1268,133,42,114500.0,749,40262.0,2827,14,32
"visalia, california",13460,18646,27908,11816,6016,174400.0,5133,66439.0,12757,3001,208
"la habra, california",7355,10286,12718,6483,2908,405000.0,3127,82520.0,10755,2162,8
"gloucester, massachusetts",2472,6387,5479,4697,2828,364000.0,1445,85905.0,200,862,8
"medford, massachusetts",3525,10245,9009,9771,8704,401000.0,1877,91234.0,852,5040,147
"boston, massachusetts",64276,93732,79743,107947,88777,393600.0,31617,97817.0,46807,57686,7567
"somerville, massachusetts",6172,10573,7847,16908,16124,469200.0,2782,95703.0,2368,6451,396
"waltham, massachusetts",4288,9966,7858,11734,9290,417600.0,2236,99274.0,2724,4226,156
"woburn, massachusetts",1737,9335,7020,6490,3989,365600.0,1480,99811.0,150,2408,125
"holyoke, massachusetts",5979,7504,6684,3842,2320,186500.0,2277,71109.0,6317,394,138
"hudson, massachusetts",1174,3407,3108,2310,1267,279200.0,365,85833.0,250,1260,29
"turners falls, massachusetts",494,948,860,534,280,187800.0,268,58750.0,43,31,22
"chicopee, massachusetts",5862,14966,11929,4438,2428,173000.0,2564,65199.0,1652,2498,88
"springfield, massachusetts",21860,29205,25424,9917,6280,144700.0,8375,59937.0,18053,3847,1470
"dedham, massachusetts",1084,4276,4294,4953,3627,383700.0,694,99324.0,486,804,8
"hayward, california",20244,26460,29490,18767,6859,364600.0,8184,88693.0,22682,17630,817
"livermore, california",4947,10049,19777,14993,8414,537200.0,2287,119895.0,4312,2648,43
"lemon grove, california",3256,5104,6378,1916,812,316500.0,1651,73005.0,2545,851,81
